family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
pali,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.09971246123313904,0.09765662805330066,0.10172199914777594,0.1220703125,0.123779296875,0.001708984375,0.00341796875,0.019979802891612053,0.07973265647888184,0.9051558497337837,419.6943033772648,0.19521145522594452,0.21510446071624756,0.9977297922017596,0.9965597777099395,0.9929086052033869,461.439453125,0.1126561164855957,0.87451171875,0.19352811574935913
pali,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.09971246123313904,0.09765662805330066,0.10172199914777594,0.1201171875,0.123046875,0.00146484375,0.00439453125,0.019979802891612053,0.07973265647888184,0.9051558497337837,419.6943033772648,0.19521145522594452,0.21510446071624756,0.9977297922017596,0.9965597777099395,0.9929086052033869,461.439453125,0.1126561164855957,0.87451171875,0.19352811574935913
pali,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.09971246123313904,0.09765662805330066,0.10172199914777594,0.1123046875,0.119384765625,0.001220703125,0.00830078125,0.019979802891612053,0.07973265647888184,0.9051558497337837,419.6943033772648,0.19521145522594452,0.21510446071624756,0.9977297922017596,0.9965597777099395,0.9929086052033869,461.439453125,0.1126561164855957,0.87451171875,0.19352811574935913
pali,coco_karpathy,last_token,True,1,0.14285714285714285,4,4,4,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.11006654798984528,0.10813097004629527,0.11198559903386922,0.15478515625,0.154052734375,0.005615234375,0.0048828125,0.029153741896152496,0.08091280609369278,0.8931478801999073,465.851057169775,0.14935734868049622,0.2241964340209961,0.9949731126312974,0.9879930743282859,0.9907976731586833,499.396484375,0.12192296981811523,0.8427734375,0.14772532880306244
pali,coco_karpathy,last_token,True,1,0.14285714285714285,4,4,4,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.11006654798984528,0.10813097004629527,0.11198559903386922,0.14697265625,0.150634765625,0.005126953125,0.0087890625,0.029153741896152496,0.08091280609369278,0.8931478801999073,465.851057169775,0.14935734868049622,0.2241964340209961,0.9949731126312974,0.9879930743282859,0.9907976731586833,499.396484375,0.12192296981811523,0.8427734375,0.14772532880306244
pali,coco_karpathy,last_token,True,1,0.14285714285714285,4,4,4,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.11006654798984528,0.10813097004629527,0.11198559903386922,0.13671875,0.146484375,0.004150390625,0.013916015625,0.029153741896152496,0.08091280609369278,0.8931478801999073,465.851057169775,0.14935734868049622,0.2241964340209961,0.9949731126312974,0.9879930743282859,0.9907976731586833,499.396484375,0.12192296981811523,0.8427734375,0.14772532880306244
pali,coco_karpathy,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.13528621196746826,0.1334626751668111,0.13721068806153197,0.138671875,0.134765625,0.0078125,0.00390625,0.04074467718601227,0.094541534781456,0.8937781315445474,467.9180815842041,0.18198151886463165,0.3847332000732422,0.9919553934030203,0.9784071167714957,0.996313210451574,463.052734375,0.11304998397827148,0.86279296875,0.169538214802742
pali,coco_karpathy,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.13528621196746826,0.1334626751668111,0.13721068806153197,0.1337890625,0.13330078125,0.0068359375,0.00634765625,0.04074467718601227,0.094541534781456,0.8937781315445474,467.9180815842041,0.18198151886463165,0.3847332000732422,0.9919553934030203,0.9784071167714957,0.996313210451574,463.052734375,0.11304998397827148,0.86279296875,0.169538214802742
pali,coco_karpathy,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.13528621196746826,0.1334626751668111,0.13721068806153197,0.125,0.129638671875,0.006103515625,0.0107421875,0.04074467718601227,0.094541534781456,0.8937781315445474,467.9180815842041,0.18198151886463165,0.3847332000732422,0.9919553934030203,0.9784071167714957,0.996313210451574,463.052734375,0.11304998397827148,0.86279296875,0.169538214802742
pali,coco_karpathy,last_token,True,3,0.42857142857142855,11,11,11,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.2323961853981018,0.22931967430267833,0.2353051689133281,0.1591796875,0.157958984375,0.0078125,0.006591796875,0.06327503174543381,0.1691211611032486,0.8731089513430283,557.8266969816257,0.25391778349876404,0.49422889947891235,0.992029505130284,0.9684145553994135,0.994941538659995,545.681640625,0.1332230567932129,0.83837890625,0.27491939067840576
pali,coco_karpathy,last_token,True,3,0.42857142857142855,11,11,11,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.2323961853981018,0.22931967430267833,0.2353051689133281,0.15673828125,0.156982421875,0.007568359375,0.0078125,0.06327503174543381,0.1691211611032486,0.8731089513430283,557.8266969816257,0.25391778349876404,0.49422889947891235,0.992029505130284,0.9684145553994135,0.994941538659995,545.681640625,0.1332230567932129,0.83837890625,0.27491939067840576
