family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
pali,pixelprose,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.15994098782539368,0.15829390692269954,0.1615812197120249,0.157470703125,0.15478515625,0.0048828125,0.002197265625,0.04425280541181564,0.11568818986415863,0.8730062335253613,559.0932958359349,0.21514959633350372,0.21132580935955048,0.9976122707436766,0.994689366434721,0.9905764016727534,561.017578125,0.13696718215942383,0.84521484375,0.2086362987756729
pali,pixelprose,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.15994098782539368,0.15829390692269954,0.1615812197120249,0.153564453125,0.1533203125,0.00439453125,0.004150390625,0.04425280541181564,0.11568818986415863,0.8730062335253613,559.0932958359349,0.21514959633350372,0.21132580935955048,0.9976122707436766,0.994689366434721,0.9905764016727534,561.017578125,0.13696718215942383,0.84521484375,0.2086362987756729
pali,pixelprose,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.15994098782539368,0.15829390692269954,0.1615812197120249,0.141845703125,0.14794921875,0.00390625,0.010009765625,0.04425280541181564,0.11568818986415863,0.8730062335253613,559.0932958359349,0.21514959633350372,0.21132580935955048,0.9976122707436766,0.994689366434721,0.9905764016727534,561.017578125,0.13696718215942383,0.84521484375,0.2086362987756729
pali,pixelprose,last_token,True,1,0.14285714285714285,4,4,4,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.18794263899326324,0.18532513598584047,0.19061624334863153,0.181884765625,0.182861328125,0.010009765625,0.010986328125,0.0720682144165039,0.11587442457675934,0.8646171014290452,606.8804188299994,0.1745554506778717,0.2521606385707855,0.9932362305242387,0.9515527231895491,0.9950499038863393,550.736328125,0.13445711135864258,0.806396484375,0.16435877978801727
pali,pixelprose,last_token,True,1,0.14285714285714285,4,4,4,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.18794263899326324,0.18532513598584047,0.19061624334863153,0.155029296875,0.170654296875,0.0087890625,0.0244140625,0.0720682144165039,0.11587442457675934,0.8646171014290452,606.8804188299994,0.1745554506778717,0.2521606385707855,0.9932362305242387,0.9515527231895491,0.9950499038863393,550.736328125,0.13445711135864258,0.806396484375,0.16435877978801727
pali,pixelprose,last_token,True,1,0.14285714285714285,4,4,4,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.18794263899326324,0.18532513598584047,0.19061624334863153,0.070068359375,0.1298828125,0.007080078125,0.06689453125,0.0720682144165039,0.11587442457675934,0.8646171014290452,606.8804188299994,0.1745554506778717,0.2521606385707855,0.9932362305242387,0.9515527231895491,0.9950499038863393,550.736328125,0.13445711135864258,0.806396484375,0.16435877978801727
pali,pixelprose,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.1914764940738678,0.18893595963963888,0.19448949691141024,0.127685546875,0.1298828125,0.0068359375,0.009033203125,0.07709115743637085,0.11438532918691635,0.8945773085997396,465.5981169047606,0.21239042282104492,0.3736813962459564,0.9862630543222792,0.9484671498370284,0.9945024902554456,443.615234375,0.10830450057983398,0.8603515625,0.18870007991790771
pali,pixelprose,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.1914764940738678,0.18893595963963888,0.19448949691141024,0.101318359375,0.117919921875,0.005615234375,0.022216796875,0.07709115743637085,0.11438532918691635,0.8945773085997396,465.5981169047606,0.21239042282104492,0.3736813962459564,0.9862630543222792,0.9484671498370284,0.9945024902554456,443.615234375,0.10830450057983398,0.8603515625,0.18870007991790771
pali,pixelprose,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.1914764940738678,0.18893595963963888,0.19448949691141024,-0.009521484375,0.062744140625,0.00537109375,0.07763671875,0.07709115743637085,0.11438532918691635,0.8945773085997396,465.5981169047606,0.21239042282104492,0.3736813962459564,0.9862630543222792,0.9484671498370284,0.9945024902554456,443.615234375,0.10830450057983398,0.8603515625,0.18870007991790771
pali,pixelprose,last_token,True,3,0.42857142857142855,11,11,11,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.28958070278167725,0.28627519892324926,0.2931483525149815,0.15771484375,0.158447265625,0.00537109375,0.006103515625,0.10484141111373901,0.18473929166793823,0.879960993564799,530.0819001867898,0.26108628511428833,0.5891837477684021,0.9894247364650419,0.9535719329019927,0.9979977213743045,513.431640625,0.1253495216369629,0.8388671875,0.3006906509399414
