family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
qwen,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.013765653595328331,0.013434479758939234,0.014102926918258162,0.056884765625,0.021484375,0.051025390625,0.015625,0.007853741757571697,0.005911911837756634,0.9494987768722509,210.2685190588446,0.031978998333215714,0.04035353288054466,0.9971930682260995,0.996561575727744,0.9923296177777632,280.11328125,0.06838703155517578,0.92041015625,0.03186704218387604
qwen,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.013765653595328331,0.013434479758939234,0.014102926918258162,0.031494140625,0.0166015625,0.043212890625,0.0283203125,0.007853741757571697,0.005911911837756634,0.9494987768722509,210.2685190588446,0.031978998333215714,0.04035353288054466,0.9971930682260995,0.996561575727744,0.9923296177777632,280.11328125,0.06838703155517578,0.92041015625,0.03186704218387604
qwen,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.013765653595328331,0.013434479758939234,0.014102926918258162,-0.008544921875,0.01220703125,0.027587890625,0.04833984375,0.007853741757571697,0.005911911837756634,0.9494987768722509,210.2685190588446,0.031978998333215714,0.04035353288054466,0.9971930682260995,0.996561575727744,0.9923296177777632,280.11328125,0.06838703155517578,0.92041015625,0.03186704218387604
qwen,coco_karpathy,last_token,True,1,0.14285714285714285,5,5,5,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.03509388118982315,0.03424441092984125,0.035990475848393544,0.0673828125,0.018798828125,0.0654296875,0.016845703125,0.020458200946450233,0.014635683968663216,0.9393035687144916,267.2626219777141,0.07228349894285202,0.08007143437862396,0.9958457062662108,0.9946268838422669,0.9944127466534036,320.546875,0.07825851440429688,0.90966796875,0.07297720015048981
qwen,coco_karpathy,last_token,True,1,0.14285714285714285,5,5,5,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.03509388118982315,0.03424441092984125,0.035990475848393544,0.03271484375,0.014404296875,0.052490234375,0.0341796875,0.020458200946450233,0.014635683968663216,0.9393035687144916,267.2626219777141,0.07228349894285202,0.08007143437862396,0.9958457062662108,0.9946268838422669,0.9944127466534036,320.546875,0.07825851440429688,0.90966796875,0.07297720015048981
qwen,coco_karpathy,last_token,True,1,0.14285714285714285,5,5,5,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.03509388118982315,0.03424441092984125,0.035990475848393544,-0.00830078125,0.009521484375,0.036865234375,0.0546875,0.020458200946450233,0.014635683968663216,0.9393035687144916,267.2626219777141,0.07228349894285202,0.08007143437862396,0.9958457062662108,0.9946268838422669,0.9944127466534036,320.546875,0.07825851440429688,0.90966796875,0.07297720015048981
qwen,coco_karpathy,last_token,True,2,0.2857142857142857,10,10,10,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.10289284586906433,0.10126331392111751,0.10440450768855954,0.041259765625,0.028564453125,0.052001953125,0.039306640625,0.05406694859266281,0.04882589727640152,0.9202487279828081,352.2145735624124,0.11637096107006073,0.16094151139259338,0.992202980887504,0.9862059108501255,0.9923778580357416,366.16015625,0.08939456939697266,0.892822265625,0.12454482167959213
qwen,coco_karpathy,last_token,True,2,0.2857142857142857,10,10,10,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.10289284586906433,0.10126331392111751,0.10440450768855954,-0.018798828125,0.017578125,0.032958984375,0.0693359375,0.05406694859266281,0.04882589727640152,0.9202487279828081,352.2145735624124,0.11637096107006073,0.16094151139259338,0.992202980887504,0.9862059108501255,0.9923778580357416,366.16015625,0.08939456939697266,0.892822265625,0.12454482167959213
qwen,coco_karpathy,last_token,True,2,0.2857142857142857,10,10,10,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.10289284586906433,0.10126331392111751,0.10440450768855954,-0.063720703125,0.009033203125,0.01904296875,0.091796875,0.05406694859266281,0.04882589727640152,0.9202487279828081,352.2145735624124,0.11637096107006073,0.16094151139259338,0.992202980887504,0.9862059108501255,0.9923778580357416,366.16015625,0.08939456939697266,0.892822265625,0.12454482167959213
qwen,coco_karpathy,last_token,True,3,0.42857142857142855,15,15,15,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.14877253770828247,0.14627556643717982,0.15132908529812994,0.064697265625,0.020751953125,0.08935546875,0.04541015625,0.08348678797483444,0.06528574973344803,0.9065400755666808,412.85561182221045,0.16637520492076874,0.22239996492862701,0.9937288642024454,0.9882437308050526,0.9967542630358949,441.60546875,0.10781383514404297,0.86474609375,0.18235167860984802
