family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.1,1024,512,1200,0.10712604224681854,0.10553432950218848,0.10886727646866347,0.167236328125,0.167236328125,0.002197265625,0.002197265625,0.026533566415309906,0.08059246838092804,0.8800486302028758,536.6067692333685,0.13765157759189606,0.05396762117743492,0.9912765963117135,0.9449708419858474,0.9984668065373912,501.234375,0.12237167358398438,0.82958984375,0.10137961804866791
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.25,1024,512,1200,0.10712604224681854,0.10553432950218848,0.10886727646866347,0.165771484375,0.1669921875,0.001708984375,0.0029296875,0.026533566415309906,0.08059246838092804,0.8800486302028758,536.6067692333685,0.13765157759189606,0.05396762117743492,0.9912765963117135,0.9449708419858474,0.9984668065373912,501.234375,0.12237167358398438,0.82958984375,0.10137961804866791
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.5,1024,512,1200,0.10712604224681854,0.10553432950218848,0.10886727646866347,0.164794921875,0.16650390625,0.001708984375,0.00341796875,0.026533566415309906,0.08059246838092804,0.8800486302028758,536.6067692333685,0.13765157759189606,0.05396762117743492,0.9912765963117135,0.9449708419858474,0.9984668065373912,501.234375,0.12237167358398438,0.82958984375,0.10137961804866791
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.1,1024,512,1200,0.5814476013183594,0.5741785317484756,0.5889445882829023,1.0,1.0,0.0,0.0,0.1373514086008072,0.4440961480140686,0.07212537365500925,4008.525121436144,0.4447506070137024,0.3138343393802643,0.9923717523133997,0.8104447306312491,0.9910378401374065,1917.130859375,0.4680495262145996,0.0,0.31764835119247437
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.25,1024,512,1200,0.5814476013183594,0.5741785317484756,0.5889445882829023,1.0,1.0,0.0,0.0,0.1373514086008072,0.4440961480140686,0.07212537365500925,4008.525121436144,0.4447506070137024,0.3138343393802643,0.9923717523133997,0.8104447306312491,0.9910378401374065,1917.130859375,0.4680495262145996,0.0,0.31764835119247437
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.5,1024,512,1200,0.5814476013183594,0.5741785317484756,0.5889445882829023,1.0,1.0,0.0,0.0,0.1373514086008072,0.4440961480140686,0.07212537365500925,4008.525121436144,0.4447506070137024,0.3138343393802643,0.9923717523133997,0.8104447306312491,0.9910378401374065,1917.130859375,0.4680495262145996,0.0,0.31764835119247437
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.1059035211801529,0.10434170453336264,0.10764582995270758,0.167236328125,0.167236328125,0.002197265625,0.002197265625,0.026191450655460358,0.07971206307411194,0.8799727929842566,537.4474093077898,0.13440386950969696,0.04844336584210396,0.9914101226832331,0.9445920288937916,0.9988482226750586,499.67578125,0.12199115753173828,0.82958984375,0.0992564857006073
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.1059035211801529,0.10434170453336264,0.10764582995270758,0.165771484375,0.1669921875,0.001708984375,0.0029296875,0.026191450655460358,0.07971206307411194,0.8799727929842566,537.4474093077898,0.13440386950969696,0.04844336584210396,0.9914101226832331,0.9445920288937916,0.9988482226750586,499.67578125,0.12199115753173828,0.82958984375,0.0992564857006073
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.1059035211801529,0.10434170453336264,0.10764582995270758,0.164794921875,0.16650390625,0.001708984375,0.00341796875,0.026191450655460358,0.07971206307411194,0.8799727929842566,537.4474093077898,0.13440386950969696,0.04844336584210396,0.9914101226832331,0.9445920288937916,0.9988482226750586,499.67578125,0.12199115753173828,0.82958984375,0.0992564857006073
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,True,1.1,1024,512,1200,0.5711912512779236,0.5639748427944141,0.5784312911564484,1.0,1.0,0.0,0.0,0.13580921292304993,0.43538203835487366,0.0731574415309041,4004.86583767311,0.437828928232193,0.3094794750213623,0.9932618618487439,0.8116499862361435,0.9903899500667885,1903.22265625,0.46465396881103516,0.0,0.3106919527053833
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,True,1.25,1024,512,1200,0.5711912512779236,0.5639748427944141,0.5784312911564484,1.0,1.0,0.0,0.0,0.13580921292304993,0.43538203835487366,0.0731574415309041,4004.86583767311,0.437828928232193,0.3094794750213623,0.9932618618487439,0.8116499862361435,0.9903899500667885,1903.22265625,0.46465396881103516,0.0,0.3106919527053833
qwen,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,True,1.5,1024,512,1200,0.5711912512779236,0.5639748427944141,0.5784312911564484,1.0,1.0,0.0,0.0,0.13580921292304993,0.43538203835487366,0.0731574415309041,4004.86583767311,0.437828928232193,0.3094794750213623,0.9932618618487439,0.8116499862361435,0.9903899500667885,1903.22265625,0.46465396881103516,0.0,0.3106919527053833
