family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.1,1024,512,1200,0.09155821800231934,0.09088697738734482,0.09224211692053359,0.14453125,0.144287109375,0.0029296875,0.002685546875,0.021009117364883423,0.07054910063743591,0.8790949395237847,526.5455130050718,0.12950600683689117,0.1986430436372757,0.9954598241034294,0.9876907186278061,0.9984103736490655,521.208984375,0.12724828720092773,0.853515625,0.1260337382555008
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.25,1024,512,1200,0.09155821800231934,0.09088697738734482,0.09224211692053359,0.14404296875,0.14404296875,0.0029296875,0.0029296875,0.021009117364883423,0.07054910063743591,0.8790949395237847,526.5455130050718,0.12950600683689117,0.1986430436372757,0.9954598241034294,0.9876907186278061,0.9984103736490655,521.208984375,0.12724828720092773,0.853515625,0.1260337382555008
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.5,1024,512,1200,0.09155821800231934,0.09088697738734482,0.09224211692053359,0.14208984375,0.143310546875,0.002685546875,0.00390625,0.021009117364883423,0.07054910063743591,0.8790949395237847,526.5455130050718,0.12950600683689117,0.1986430436372757,0.9954598241034294,0.9876907186278061,0.9984103736490655,521.208984375,0.12724828720092773,0.853515625,0.1260337382555008
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.1,1024,512,1200,0.613471508026123,0.60994661814766,0.6171087945578619,1.0,1.0,0.0,0.0,0.16399970650672913,0.4494718313217163,0.06776670169238706,4035.161343866025,0.3453945219516754,0.3125562071800232,0.9947733501414396,0.8399730852290657,0.9937230098075667,1881.208984375,0.45927953720092773,0.0,0.33109819889068604
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.25,1024,512,1200,0.613471508026123,0.60994661814766,0.6171087945578619,1.0,1.0,0.0,0.0,0.16399970650672913,0.4494718313217163,0.06776670169238706,4035.161343866025,0.3453945219516754,0.3125562071800232,0.9947733501414396,0.8399730852290657,0.9937230098075667,1881.208984375,0.45927953720092773,0.0,0.33109819889068604
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.5,1024,512,1200,0.613471508026123,0.60994661814766,0.6171087945578619,1.0,1.0,0.0,0.0,0.16399970650672913,0.4494718313217163,0.06776670169238706,4035.161343866025,0.3453945219516754,0.3125562071800232,0.9947733501414396,0.8399730852290657,0.9937230098075667,1881.208984375,0.45927953720092773,0.0,0.33109819889068604
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.0904068797826767,0.08974153429626312,0.09107314069806308,0.144287109375,0.14404296875,0.0029296875,0.002685546875,0.020828478038311005,0.06957840919494629,0.8790349519242429,526.0484124009278,0.12416058778762817,0.1937732994556427,0.9957420598774058,0.9880111856378921,0.9982839120148731,518.560546875,0.1266016960144043,0.853759765625,0.12080288678407669
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.0904068797826767,0.08974153429626312,0.09107314069806308,0.143798828125,0.143798828125,0.0029296875,0.0029296875,0.020828478038311005,0.06957840919494629,0.8790349519242429,526.0484124009278,0.12416058778762817,0.1937732994556427,0.9957420598774058,0.9880111856378921,0.9982839120148731,518.560546875,0.1266016960144043,0.853759765625,0.12080288678407669
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.0904068797826767,0.08974153429626312,0.09107314069806308,0.141845703125,0.14306640625,0.002685546875,0.00390625,0.020828478038311005,0.06957840919494629,0.8790349519242429,526.0484124009278,0.12416058778762817,0.1937732994556427,0.9957420598774058,0.9880111856378921,0.9982839120148731,518.560546875,0.1266016960144043,0.853759765625,0.12080288678407669
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,True,1.1,1024,512,1200,0.6077569127082825,0.6041768940776819,0.6113648954851669,1.0,1.0,0.0,0.0,0.1629970520734787,0.4447598457336426,0.0684300958724884,4034.052940615926,0.34149685502052307,0.30811840295791626,0.9929959952608485,0.8385642416371473,0.9882800106382849,1880.20703125,0.45903491973876953,0.0,0.32750895619392395
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,True,1.25,1024,512,1200,0.6077569127082825,0.6041768940776819,0.6113648954851669,1.0,1.0,0.0,0.0,0.1629970520734787,0.4447598457336426,0.0684300958724884,4034.052940615926,0.34149685502052307,0.30811840295791626,0.9929959952608485,0.8385642416371473,0.9882800106382849,1880.20703125,0.45903491973876953,0.0,0.32750895619392395
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,True,1.5,1024,512,1200,0.6077569127082825,0.6041768940776819,0.6113648954851669,1.0,1.0,0.0,0.0,0.1629970520734787,0.4447598457336426,0.0684300958724884,4034.052940615926,0.34149685502052307,0.30811840295791626,0.9929959952608485,0.8385642416371473,0.9882800106382849,1880.20703125,0.45903491973876953,0.0,0.32750895619392395
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.0003,False,1.1,1024,512,1200,0.09155821800231934,0.09088697738734482,0.09224211692053359,0.14453125,0.144287109375,0.0029296875,0.002685546875,0.021009117364883423,0.07054910063743591,0.8790949395237847,526.5455130050718,0.12950600683689117,0.1986430436372757,0.9954598241034294,0.9876907186278061,0.9984103736490655,521.208984375,0.12724828720092773,0.853515625,0.1260337382555008
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.0003,False,1.25,1024,512,1200,0.09155821800231934,0.09088697738734482,0.09224211692053359,0.14404296875,0.14404296875,0.0029296875,0.0029296875,0.021009117364883423,0.07054910063743591,0.8790949395237847,526.5455130050718,0.12950600683689117,0.1986430436372757,0.9954598241034294,0.9876907186278061,0.9984103736490655,521.208984375,0.12724828720092773,0.853515625,0.1260337382555008
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.0003,False,1.5,1024,512,1200,0.09155821800231934,0.09088697738734482,0.09224211692053359,0.14208984375,0.143310546875,0.002685546875,0.00390625,0.021009117364883423,0.07054910063743591,0.8790949395237847,526.5455130050718,0.12950600683689117,0.1986430436372757,0.9954598241034294,0.9876907186278061,0.9984103736490655,521.208984375,0.12724828720092773,0.853515625,0.1260337382555008
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.0003,True,1.1,1024,512,1200,0.613471508026123,0.60994661814766,0.6171087945578619,1.0,1.0,0.0,0.0,0.16399970650672913,0.4494718313217163,0.06776670169238706,4035.161343866025,0.3453945219516754,0.3125562071800232,0.9947733501414396,0.8399730852290657,0.9937230098075667,1881.208984375,0.45927953720092773,0.0,0.33109819889068604
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.0003,True,1.25,1024,512,1200,0.613471508026123,0.60994661814766,0.6171087945578619,1.0,1.0,0.0,0.0,0.16399970650672913,0.4494718313217163,0.06776670169238706,4035.161343866025,0.3453945219516754,0.3125562071800232,0.9947733501414396,0.8399730852290657,0.9937230098075667,1881.208984375,0.45927953720092773,0.0,0.33109819889068604
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.0003,True,1.5,1024,512,1200,0.613471508026123,0.60994661814766,0.6171087945578619,1.0,1.0,0.0,0.0,0.16399970650672913,0.4494718313217163,0.06776670169238706,4035.161343866025,0.3453945219516754,0.3125562071800232,0.9947733501414396,0.8399730852290657,0.9937230098075667,1881.208984375,0.45927953720092773,0.0,0.33109819889068604
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.001,False,1.1,1024,512,1200,0.0904068797826767,0.08974153429626312,0.09107314069806308,0.144287109375,0.14404296875,0.0029296875,0.002685546875,0.020828478038311005,0.06957840919494629,0.8790349519242429,526.0484124009278,0.12416058778762817,0.1937732994556427,0.9957420598774058,0.9880111856378921,0.9982839120148731,518.560546875,0.1266016960144043,0.853759765625,0.12080288678407669
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.001,False,1.25,1024,512,1200,0.0904068797826767,0.08974153429626312,0.09107314069806308,0.143798828125,0.143798828125,0.0029296875,0.0029296875,0.020828478038311005,0.06957840919494629,0.8790349519242429,526.0484124009278,0.12416058778762817,0.1937732994556427,0.9957420598774058,0.9880111856378921,0.9982839120148731,518.560546875,0.1266016960144043,0.853759765625,0.12080288678407669
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.001,False,1.5,1024,512,1200,0.0904068797826767,0.08974153429626312,0.09107314069806308,0.141845703125,0.14306640625,0.002685546875,0.00390625,0.020828478038311005,0.06957840919494629,0.8790349519242429,526.0484124009278,0.12416058778762817,0.1937732994556427,0.9957420598774058,0.9880111856378921,0.9982839120148731,518.560546875,0.1266016960144043,0.853759765625,0.12080288678407669
pali,coco_karpathy,final_quarter,False,0,0.0,0,0,0,11,4.0,4096,0.001,True,1.1,1024,512,1200,0.6077569127082825,0.6041768940776819,0.6113648954851669,1.0,1.0,0.0,0.0,0.1629970520734787,0.4447598457336426,0.0684300958724884,4034.052940615926,0.34149685502052307,0.30811840295791626,0.9929959952608485,0.8385642416371473,0.9882800106382849,1880.20703125,0.45903491973876953,0.0,0.32750895619392395
