family,dataset,lps_text,lps_image_only,lps_image_conditioned,nri_image_conditioned,n_concepts
Pali,COCO,0.094,0.091,0.12,0.753,120.0
Pali,Flickr30k,0.08,0.071,0.11,0.774,120.0
Pali,PixelProse,0.116,0.082,0.115,0.758,120.0
Qwen,COCO,0.091,0.091,0.134,0.732,120.0
Qwen,Flickr30k,0.076,0.072,0.119,0.762,120.0
Qwen,PixelProse,0.094,0.074,0.119,0.746,120.0
Smol,COCO,0.089,0.087,0.089,0.814,120.0
Smol,Flickr30k,0.062,0.059,0.061,0.871,120.0
Smol,PixelProse,0.075,0.069,0.07,0.843,120.0
