family,dataset,mfi,mfi_lo,mfi_hi,mfi_n,fmp,fmp_lo,fmp_hi,fmp_n,mean_text_delta,mean_text_delta_lo,mean_text_delta_hi,mean_text_delta_n,mean_image_delta,mean_image_delta_lo,mean_image_delta_hi,mean_image_delta_n,image_driven_frac,image_driven_frac_lo,image_driven_frac_hi,image_driven_frac_n,text_driven_frac,text_driven_frac_lo,text_driven_frac_hi,text_driven_frac_n,both_driven_frac,both_driven_frac_lo,both_driven_frac_hi,both_driven_frac_n,vlm_eval_rec_r2,vlm_eval_rec_r2_lo,vlm_eval_rec_r2_hi,vlm_eval_rec_r2_n,vlm_eval_l0,vlm_eval_l0_lo,vlm_eval_l0_hi,vlm_eval_l0_n,vlm_eval_active_frac,vlm_eval_active_frac_lo,vlm_eval_active_frac_hi,vlm_eval_active_frac_n,vlm_eval_dead_frac,vlm_eval_dead_frac_lo,vlm_eval_dead_frac_hi,vlm_eval_dead_frac_n,vlm_eval_z_abs_mean,vlm_eval_z_abs_mean_lo,vlm_eval_z_abs_mean_hi,vlm_eval_z_abs_mean_n
Pali,COCO,0.456,0.09,0.722,192,0.581,0.102,1.0,192,0.138,0.021,0.233,192,0.318,0.07,0.498,192,0.582,0.103,1.0,192,0.001,0.0,0.005,192,0.003,0.0,0.009,192,0.858,0.637,0.988,192,1239.937,357.695,1943.223,192,0.303,0.087,0.474,192,0.415,0.0,0.895,192,0.354,0.121,0.859,192
Pali,Flickr30k,0.475,0.087,0.752,192,0.441,-0.021,0.999,192,0.184,0.03,0.314,192,0.291,0.057,0.471,192,0.508,0.066,1.0,192,0.004,0.0,0.009,192,0.07,0.0,0.423,192,0.853,0.644,0.989,192,1232.287,348.633,1940.805,192,0.301,0.085,0.474,192,0.421,0.0,0.898,192,0.36,0.115,0.891,192
Pali,PixelProse,0.493,0.085,0.812,192,0.354,-0.39,1.0,192,0.293,0.053,0.491,192,0.201,0.032,0.334,192,0.002,0.0,0.007,192,0.467,0.073,1.0,192,0.115,0.0,0.695,192,0.859,0.661,0.989,192,1237.978,501.85,1965.723,192,0.302,0.123,0.48,192,0.42,0.0,0.855,192,0.369,0.108,0.982,192
Qwen,COCO,0.456,0.106,0.786,192,0.108,-0.603,1.0,192,0.188,0.026,0.365,192,0.269,0.08,0.44,192,0.349,0.023,1.0,192,0.003,0.0,0.009,192,0.244,0.0,0.801,192,0.868,0.717,0.989,192,1257.804,384.42,1922.383,192,0.307,0.094,0.469,192,0.408,0.0,0.889,192,0.309,0.099,0.683,192
Qwen,Flickr30k,0.475,0.076,0.865,192,-0.042,-0.878,0.921,192,0.262,0.039,0.471,192,0.213,0.037,0.394,192,0.01,0.0,0.054,192,0.267,0.006,0.961,192,0.319,0.012,0.939,192,0.858,0.697,0.988,192,1274.374,387.18,2025.713,192,0.311,0.095,0.495,192,0.408,0.0,0.888,192,0.301,0.059,0.701,192
Qwen,PixelProse,0.435,0.028,0.744,192,0.592,0.094,1.0,192,0.317,0.025,0.492,192,0.119,0.003,0.26,192,0.002,0.0,0.009,192,0.595,0.11,1.0,192,0.006,0.0,0.016,192,0.856,0.692,0.986,192,1295.813,398.783,2090.879,192,0.316,0.097,0.51,192,0.401,0.0,0.874,192,0.302,0.037,0.678,192
Smol,COCO,0.325,0.054,0.682,192,0.554,0.073,1.0,192,0.016,0.001,0.042,192,0.308,0.053,0.64,192,0.554,0.073,1.0,192,0.0,0.0,0.001,192,0.0,0.0,0.002,192,0.937,0.865,0.995,192,1125.491,261.463,1876.074,192,0.275,0.064,0.458,192,0.446,0.0,0.927,192,0.344,0.09,1.401,192
Smol,Flickr30k,0.329,0.052,0.656,192,0.553,0.074,1.0,192,0.029,0.002,0.069,192,0.3,0.049,0.587,192,0.554,0.077,1.0,192,0.0,0.0,0.002,192,0.001,0.0,0.003,192,0.931,0.854,0.995,192,1140.489,268.064,1899.596,192,0.278,0.065,0.464,192,0.445,0.0,0.921,192,0.35,0.092,1.446,192
Smol,PixelProse,0.358,0.057,0.797,192,0.562,0.088,1.0,192,0.061,0.003,0.2,192,0.297,0.054,0.597,192,0.564,0.088,1.0,192,0.001,0.0,0.002,192,0.002,0.0,0.009,192,0.916,0.822,0.992,192,1170.107,317.986,1898.434,192,0.286,0.078,0.463,192,0.434,0.0,0.912,192,0.341,0.101,1.352,192
