family,dataset,lps_text,lps_text_lo,lps_text_hi,lps_text_n,lps_image_only,lps_image_only_lo,lps_image_only_hi,lps_image_only_n,lps_image_conditioned,lps_image_conditioned_lo,lps_image_conditioned_hi,lps_image_conditioned_n,nri_image_conditioned,nri_image_conditioned_lo,nri_image_conditioned_hi,nri_image_conditioned_n,shared_neighbor_ratio,shared_neighbor_ratio_lo,shared_neighbor_ratio_hi,shared_neighbor_ratio_n,cross_superclass_gained_frac,cross_superclass_gained_frac_lo,cross_superclass_gained_frac_hi,cross_superclass_gained_frac_n,random_shared_baseline,random_shared_baseline_lo,random_shared_baseline_hi,random_shared_baseline_n,align_fit_proxy,align_fit_proxy_lo,align_fit_proxy_hi,align_fit_proxy_n,n_concepts,n_concepts_lo,n_concepts_hi,n_concepts_n
Pali,COCO,0.094,0.08,0.106,8,0.091,0.074,0.109,8,0.12,0.096,0.143,8,0.753,0.709,0.791,8,0.247,0.209,0.291,8,0.658,0.634,0.68,8,0.042,0.042,0.042,8,-0.294,-0.611,-0.062,8,120.0,120.0,120.0,8
Pali,Flickr30k,0.08,0.064,0.097,8,0.071,0.055,0.083,8,0.11,0.078,0.144,8,0.774,0.719,0.832,8,0.226,0.168,0.281,8,0.687,0.669,0.708,8,0.042,0.042,0.042,8,-0.285,-0.564,-0.074,8,120.0,120.0,120.0,8
Pali,PixelProse,0.116,0.086,0.147,8,0.082,0.058,0.115,8,0.115,0.087,0.138,8,0.758,0.71,0.811,8,0.242,0.189,0.29,8,0.658,0.615,0.703,8,0.042,0.042,0.042,8,-0.228,-0.527,-0.061,8,120.0,120.0,120.0,8
Qwen,COCO,0.091,0.068,0.103,8,0.091,0.072,0.107,8,0.134,0.093,0.166,8,0.732,0.673,0.809,8,0.268,0.191,0.327,8,0.66,0.629,0.685,8,0.042,0.042,0.042,8,-0.398,-2.715,0.06,8,120.0,120.0,120.0,8
Qwen,Flickr30k,0.076,0.058,0.086,8,0.072,0.056,0.086,8,0.119,0.077,0.149,8,0.762,0.71,0.836,8,0.238,0.164,0.29,8,0.69,0.643,0.75,8,0.042,0.042,0.042,8,-0.457,-2.935,0.044,8,120.0,120.0,120.0,8
Qwen,PixelProse,0.094,0.079,0.108,8,0.074,0.06,0.083,8,0.119,0.085,0.151,8,0.746,0.68,0.819,8,0.254,0.181,0.32,8,0.661,0.617,0.688,8,0.042,0.042,0.042,8,-0.448,-2.874,0.012,8,120.0,120.0,120.0,8
Smol,COCO,0.089,0.065,0.114,8,0.087,0.066,0.109,8,0.089,0.066,0.113,8,0.814,0.77,0.853,8,0.186,0.147,0.23,8,0.696,0.668,0.728,8,0.042,0.042,0.042,8,-2.301,-11.633,-0.449,8,120.0,120.0,120.0,8
Smol,Flickr30k,0.062,0.039,0.084,8,0.059,0.036,0.083,8,0.061,0.036,0.085,8,0.871,0.828,0.921,8,0.129,0.079,0.172,8,0.795,0.753,0.829,8,0.042,0.042,0.042,8,-2.221,-11.179,-0.375,8,120.0,120.0,120.0,8
Smol,PixelProse,0.075,0.049,0.111,8,0.069,0.047,0.098,8,0.07,0.048,0.1,8,0.843,0.779,0.895,8,0.157,0.105,0.221,8,0.749,0.687,0.783,8,0.042,0.042,0.042,8,-2.351,-11.829,-0.391,8,120.0,120.0,120.0,8
