family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
smol,pixelprose,0,0.0,0,0,0,3,120,16,0.03595416666666667,0.03610416666666666,0.03610416666666666,0.9166666666666665,0.08333333333333333,0.7527777777777778,0.025210084033613446,-1.5369976728300587
smol,pixelprose,0,0.0,0,0,0,5,120,16,0.045295935582010574,0.04427203055555555,0.04549898472222222,0.9016666666666667,0.09833333333333334,0.7826388888888889,0.04201680672268908,-1.5369976728300587
smol,pixelprose,0,0.0,0,0,0,10,120,16,0.0887620789463334,0.08801913080965994,0.08978158016435855,0.8133333333333332,0.18666666666666665,0.8372453703703705,0.08403361344537816,-1.5369976728300587
smol,pixelprose,0,0.0,0,0,0,20,120,16,0.14388541738934668,0.14158092347528212,0.14298652679596563,0.7270833333333333,0.27291666666666664,0.8825424071399303,0.16806722689075632,-1.5369976728300587
smol,pixelprose,1,0.14285714285714285,3,3,3,3,120,16,0.0448375,0.04635416666666667,0.0466875,0.8888888888888888,0.1111111111111111,0.6944444444444443,0.025210084033613446,-14.012693268067311
smol,pixelprose,1,0.14285714285714285,3,3,3,5,120,16,0.06386113234126983,0.06255881514550266,0.06311713690476191,0.8583333333333335,0.14166666666666666,0.7161111111111111,0.04201680672268908,-14.012693268067311
smol,pixelprose,1,0.14285714285714285,3,3,3,10,120,16,0.09533419366125918,0.09276421547824375,0.0945124135009732,0.8166666666666667,0.18333333333333332,0.7479166666666667,0.08403361344537816,-14.012693268067311
smol,pixelprose,1,0.14285714285714285,3,3,3,20,120,16,0.13309637577511838,0.1312763676411719,0.13385898908348748,0.7616666666666667,0.23833333333333334,0.7929722717154992,0.16806722689075632,-14.012693268067311
smol,pixelprose,2,0.2857142857142857,7,7,7,3,120,16,0.06031666666666666,0.04616666666666666,0.04752916666666667,0.886111111111111,0.11388888888888889,0.7166666666666667,0.025210084033613446,-0.5997417058090517
smol,pixelprose,2,0.2857142857142857,7,7,7,5,120,16,0.09200495866402116,0.0797186431878307,0.08224017645502646,0.8116666666666668,0.18833333333333335,0.7595833333333334,0.04201680672268908,-0.5997417058090517
smol,pixelprose,2,0.2857142857142857,7,7,7,10,120,16,0.15199162939358116,0.13417613253444932,0.14026529990961562,0.7266666666666667,0.2733333333333334,0.8357903439153439,0.08403361344537816,-0.5997417058090517
smol,pixelprose,2,0.2857142857142857,7,7,7,20,120,16,0.21130539217593367,0.19404096539042043,0.19974678316250408,0.6487499999999999,0.35125,0.9193027314389544,0.16806722689075632,-0.5997417058090517
