family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
smol,coco_karpathy,0,0.0,0,0,0,3,120,16,0.06590416666666665,0.06121249999999999,0.0639375,0.8611111111111109,0.13888888888888887,0.6847222222222222,0.025210084033613446,-1.2702560605345181
smol,coco_karpathy,0,0.0,0,0,0,5,120,16,0.07903234239417989,0.08038114417989417,0.08020931878306878,0.8333333333333334,0.16666666666666666,0.7084722222222222,0.04201680672268908,-1.2702560605345181
smol,coco_karpathy,0,0.0,0,0,0,10,120,16,0.11007268178795551,0.10802280514279669,0.10997050346355511,0.8016666666666666,0.19833333333333333,0.7558333333333334,0.08403361344537816,-1.2702560605345181
smol,coco_karpathy,0,0.0,0,0,0,20,120,16,0.1621631738368592,0.16282321549599524,0.16483094612837434,0.7133333333333333,0.28666666666666657,0.8446131227303828,0.16806722689075632,-1.2702560605345181
smol,coco_karpathy,1,0.14285714285714285,3,3,3,3,120,16,0.044879166666666664,0.044691666666666664,0.044504166666666664,0.8944444444444444,0.10555555555555556,0.6386554621848739,0.025210084033613446,-13.831529875452526
smol,coco_karpathy,1,0.14285714285714285,3,3,3,5,120,16,0.06200288591269841,0.06296640257936509,0.062413139616402116,0.8566666666666668,0.14333333333333334,0.6648611111111111,0.04201680672268908,-13.831529875452526
smol,coco_karpathy,1,0.14285714285714285,3,3,3,10,120,16,0.09639967247703139,0.09537299294114326,0.095553078585771,0.8141666666666668,0.18583333333333335,0.7069675925925926,0.08403361344537816,-13.831529875452526
smol,coco_karpathy,1,0.14285714285714285,3,3,3,20,120,16,0.13922610502412563,0.13902758352412042,0.13888185632972588,0.7495833333333335,0.2504166666666667,0.7700327078036057,0.16806722689075632,-13.831529875452526
smol,coco_karpathy,2,0.2857142857142857,7,7,7,3,120,16,0.05410833333333333,0.05339166666666666,0.053349999999999995,0.8833333333333333,0.11666666666666667,0.6458333333333334,0.025210084033613446,-0.5267257974726234
smol,coco_karpathy,2,0.2857142857142857,7,7,7,5,120,16,0.08042216633597883,0.08148943062169312,0.08282376904761905,0.8200000000000001,0.18000000000000005,0.6911111111111111,0.04201680672268908,-0.5267257974726234
smol,coco_karpathy,2,0.2857142857142857,7,7,7,10,120,16,0.14151339905032592,0.1431640126452326,0.14476754606589956,0.7216666666666668,0.2783333333333334,0.7800958994708995,0.08403361344537816,-0.5267257974726234
smol,coco_karpathy,2,0.2857142857142857,7,7,7,20,120,16,0.2033499564450953,0.20307231274968504,0.20728950584184655,0.6408333333333334,0.35916666666666663,0.8792239704739705,0.16806722689075632,-0.5267257974726234
smol,coco_karpathy,3,0.42857142857142855,10,10,10,3,120,16,0.07682916666666666,0.07433333333333332,0.07452083333333331,0.8333333333333333,0.16666666666666666,0.6319444444444445,0.025210084033613446,-0.5275729251826786
smol,coco_karpathy,3,0.42857142857142855,10,10,10,5,120,16,0.09764245482804232,0.09122248961640211,0.09441767017195767,0.8033333333333333,0.19666666666666668,0.7119444444444445,0.04201680672268908,-0.5275729251826786
smol,coco_karpathy,3,0.42857142857142855,10,10,10,10,120,16,0.1486714803217042,0.1450712724933506,0.14815516884654428,0.7308333333333333,0.26916666666666667,0.7894907407407408,0.08403361344537816,-0.5275729251826786
smol,coco_karpathy,3,0.42857142857142855,10,10,10,20,120,16,0.203250308809524,0.20032528247824483,0.2035175309766497,0.6625,0.3375,0.8888040150424051,0.16806722689075632,-0.5275729251826786
smol,coco_karpathy,4,0.5714285714285714,13,13,13,3,120,16,0.07596249999999999,0.07679583333333333,0.07966666666666665,0.8194444444444444,0.18055555555555552,0.6097222222222222,0.025210084033613446,-0.727946892218976
smol,coco_karpathy,4,0.5714285714285714,13,13,13,5,120,16,0.09001611084656085,0.08877487003968254,0.09300667923280423,0.8083333333333333,0.19166666666666668,0.6877777777777777,0.04201680672268908,-0.727946892218976
smol,coco_karpathy,4,0.5714285714285714,13,13,13,10,120,16,0.13888805153856734,0.13646089337262868,0.1394310939960399,0.7474999999999999,0.2525,0.7676851851851851,0.08403361344537816,-0.727946892218976
smol,coco_karpathy,4,0.5714285714285714,13,13,13,20,120,16,0.19307304631303437,0.19110243918430642,0.1945787144893642,0.6754166666666668,0.32458333333333333,0.8797879048053197,0.16806722689075632,-0.727946892218976
smol,coco_karpathy,5,0.7142857142857142,16,16,16,3,120,16,0.09290833333333332,0.09007083333333332,0.09328333333333333,0.7944444444444443,0.20555555555555555,0.6597222222222221,0.025210084033613446,-0.5366322715437992
smol,coco_karpathy,5,0.7142857142857142,16,16,16,5,120,16,0.10147636302910053,0.09852291765873014,0.1003433242063492,0.805,0.19500000000000003,0.6881944444444446,0.04201680672268908,-0.5366322715437992
smol,coco_karpathy,5,0.7142857142857142,16,16,16,10,120,16,0.1487252502337308,0.14912523415789064,0.1518778845189347,0.7341666666666666,0.2658333333333333,0.7813657407407407,0.08403361344537816,-0.5366322715437992
smol,coco_karpathy,5,0.7142857142857142,16,16,16,20,120,16,0.2071497411753831,0.20456464588031337,0.20897808477339985,0.6595833333333334,0.34041666666666665,0.8896451348860405,0.16806722689075632,-0.5366322715437992
smol,coco_karpathy,6,0.8571428571428571,20,20,20,3,120,16,0.08756666666666665,0.08756666666666665,0.0888875,0.8083333333333333,0.19166666666666668,0.6430555555555555,0.025210084033613446,-0.43298225894156506
smol,coco_karpathy,6,0.8571428571428571,20,20,20,5,120,16,0.11716636964285712,0.11139263366402116,0.1162217683201058,0.7633333333333333,0.2366666666666667,0.7315277777777778,0.04201680672268908,-0.43298225894156506
smol,coco_karpathy,6,0.8571428571428571,20,20,20,10,120,16,0.17658477200444345,0.1730923985294947,0.17841910632575922,0.6833333333333333,0.31666666666666665,0.8213955026455027,0.08403361344537816,-0.43298225894156506
smol,coco_karpathy,6,0.8571428571428571,20,20,20,20,120,16,0.23738828234732404,0.23385968680780922,0.2386213358931235,0.6204166666666667,0.37958333333333333,0.8917225756699441,0.16806722689075632,-0.43298225894156506
smol,coco_karpathy,7,1.0,23,23,23,3,120,16,0.06170416666666666,0.05742916666666667,0.05629583333333333,0.8666666666666666,0.13333333333333333,0.6361111111111112,0.025210084033613446,-0.5565373956509085
smol,coco_karpathy,7,1.0,23,23,23,5,120,16,0.08555562070105821,0.0838998074074074,0.08098869246031745,0.825,0.175,0.6806944444444445,0.04201680672268908,-0.5565373956509085
smol,coco_karpathy,7,1.0,23,23,23,10,120,16,0.14462039200710397,0.14227724789571028,0.14280881201259366,0.7241666666666667,0.2758333333333333,0.7766369047619048,0.08403361344537816,-0.5565373956509085
smol,coco_karpathy,7,1.0,23,23,23,20,120,16,0.19415993376447355,0.19296899732115463,0.1936567910985289,0.6641666666666667,0.3358333333333333,0.856996574367898,0.16806722689075632,-0.5565373956509085
