family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
qwen,coco_karpathy,0,0.0,0,0,0,3,120,16,0.06079999999999999,0.06559999999999999,0.07595833333333332,0.8333333333333334,0.16666666666666666,0.648611111111111,0.025210084033613446,0.019123537912708932
qwen,coco_karpathy,0,0.0,0,0,0,5,120,16,0.07695515800264549,0.07900678002645503,0.09336332585978835,0.805,0.19500000000000003,0.6790277777777779,0.04201680672268908,0.019123537912708932
qwen,coco_karpathy,0,0.0,0,0,0,10,120,16,0.12964304976467403,0.13147497343714482,0.14743597719001425,0.73,0.2700000000000001,0.7359623015873016,0.08403361344537816,0.019123537912708932
qwen,coco_karpathy,0,0.0,0,0,0,20,120,16,0.18505825728400052,0.18240321626172656,0.20140944768771976,0.66875,0.33125,0.8378556154959019,0.16806722689075632,0.019123537912708932
qwen,coco_karpathy,1,0.14285714285714285,5,5,5,3,120,16,0.04654583333333333,0.05214166666666666,0.07660416666666667,0.8333333333333334,0.16666666666666666,0.6386554621848739,0.025210084033613446,0.06437813728018116
qwen,coco_karpathy,1,0.14285714285714285,5,5,5,5,120,16,0.06627334794973545,0.07090554239417989,0.09298853201058202,0.81,0.19,0.6726388888888889,0.04201680672268908,0.06437813728018116
qwen,coco_karpathy,1,0.14285714285714285,5,5,5,10,120,16,0.11392515883997723,0.1112221990142678,0.14175773735284306,0.7416666666666667,0.25833333333333336,0.7465542328042327,0.08403361344537816,0.06437813728018116
qwen,coco_karpathy,1,0.14285714285714285,5,5,5,20,120,16,0.17632112591552798,0.1722879168579894,0.209693548467419,0.6429166666666667,0.35708333333333336,0.836054668370845,0.16806722689075632,0.06437813728018116
qwen,coco_karpathy,2,0.2857142857142857,10,10,10,3,120,16,0.08170416666666666,0.0722125,0.12970416666666668,0.7305555555555555,0.26944444444444443,0.5584045584045585,0.025210084033613446,0.024634885525593453
qwen,coco_karpathy,2,0.2857142857142857,10,10,10,5,120,16,0.09513675343915343,0.09664848253968253,0.14886143776455024,0.7100000000000001,0.29000000000000004,0.6290277777777776,0.04201680672268908,0.024634885525593453
qwen,coco_karpathy,2,0.2857142857142857,10,10,10,10,120,16,0.1580725101751319,0.16140349827048733,0.22424440771526438,0.615,0.385,0.7636276455026455,0.08403361344537816,0.024634885525593453
qwen,coco_karpathy,2,0.2857142857142857,10,10,10,20,120,16,0.2237637212548626,0.2214701034800321,0.28994181786054085,0.5566666666666668,0.44333333333333336,0.8818930375180375,0.16806722689075632,0.024634885525593453
qwen,coco_karpathy,3,0.42857142857142855,15,15,15,3,120,16,0.07289583333333333,0.06797916666666666,0.11750833333333333,0.7472222222222221,0.2527777777777777,0.6152777777777778,0.025210084033613446,0.01789138429947479
qwen,coco_karpathy,3,0.42857142857142855,15,15,15,5,120,16,0.1012324375,0.10171486236772487,0.16231607625661373,0.6783333333333333,0.3216666666666667,0.6816666666666668,0.04201680672268908,0.01789138429947479
